baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ComboS2Rep2_S56,ComboS2Rep3_S84,ComboS2Rep1_S24,CtrlS2Rep2_S35,CtrlS2Rep1_S21,CtrlS2Rep3_S63,gene
110.9551826,0.228734465,0.285085685,0.80233585,0.42235871,0.672523974,152.6710977,116.4283375,89.84394608,88.85471268,109.2941685,108.6388332,GENE78
176.5507253,-0.381200658,0.262688168,-1.451152756,0.146737329,0.390987569,163.5165856,193.3722823,103.3688412,181.0003406,200.7686356,217.2776664,GENE79
125.65928,0.002027206,0.254427231,0.007967725,0.993642743,0.997560292,103.4492684,143.7636863,130.4186314,126.1517526,122.3619495,127.810392,GENE80
527.7969437,0.205670215,0.18095088,1.136607987,0.2557022,0.52403802,611.5186592,548.7318167,536.1654846,502.4130668,434.8007138,533.1519208,GENE81
117.5079865,0.580826455,0.267673815,2.169903899,0.030014127,0.152855279,168.5221953,136.676744,116.8937363,87.75774092,105.7302282,89.46727438,GENE82
732.6300719,-0.9065231,0.201252575,-4.504404968,6.66E-06,0.000287806,597.3360982,495.0735394,435.6948353,920.3593079,1147.588769,799.7278812,GENE83
533.4943936,-0.147711282,0.199490751,-0.740441755,0.45903199,0.704911421,453.8419517,483.9369158,581.5704896,625.2739041,453.8083953,602.534705,GENE84
182.0554663,0.234675355,0.304759851,0.770033699,0.441279903,0.688125802,176.8648783,135.6643237,277.2603497,155.7699901,228.0921777,118.6810783,GENE85
392.6789501,-0.021922681,0.198615191,-0.110377663,0.912109867,0.966067146,334.5415857,399.9060288,434.7287713,354.321879,445.4925347,387.0829014,GENE86
219.5688575,-0.336687808,0.216571035,-1.554629907,0.120034237,0.352677516,191.0474392,217.6703701,173.8915085,224.8792111,238.7839986,271.1406173,GENE87
30.47772743,-0.397358295,0.444103528,-0.894742486,0.370924761,0.633432803,23.35951222,35.43471141,20.28734266,30.71520932,35.63940277,37.43018622,GENE88
181.861086,0.650906139,0.255137225,2.551200199,0.010735264,0.077856143,166.8536587,290.5646336,209.6358742,148.0911878,135.4297305,140.5914312,GENE89
3621.25227,0.220916437,0.144026664,1.533857905,0.125064614,0.360327687,3848.479639,3883.644371,3961.828203,3242.648527,3413.066806,3377.846074,GENE90
1118.074427,0.176304106,0.213636973,0.825250909,0.409229156,0.663661042,1238.054148,1074.177966,1245.256414,1032.250428,1367.365086,751.3425185,GENE91
145.6418809,-0.24241565,0.299991919,-0.808073935,0.419048022,0.670169786,145.1626831,110.3538155,143.9435265,125.0547808,235.2200583,114.1164214,GENE92
352.4897707,0.725997457,0.218366618,3.32467235,0.000885225,0.01319489,483.8756103,376.6203613,457.9143058,206.2306912,274.4234013,315.8742544,GENE93
328.8306035,0.427546547,0.202656086,2.109714814,0.034882928,0.167859212,355.3982931,411.0426524,366.1382319,270.9520251,243.5359189,325.9164995,GENE94
360.0928027,0.013807211,0.198734691,0.069475593,0.94461106,0.978335734,337.0443906,386.7445645,361.3079122,326.8975849,421.7329328,326.8294309,GENE95
159.5581199,0.218487492,0.232315446,0.94047768,0.346972593,0.610183565,159.3452441,196.4095432,159.4005495,144.8002725,144.9335713,152.459539,GENE96
143.9869744,-0.005715914,0.268782573,-0.021265941,0.983033513,0.994202862,122.6374392,114.4034968,194.1788512,152.4790748,137.8056907,142.4172939,GENE97
233.7400538,-0.002820153,0.213570468,-0.013204791,0.989464407,0.996491212,243.6063417,258.1671831,199.0091709,234.751957,218.588337,248.317333,GENE98
612.5884664,-0.006190061,0.182717286,-0.033877809,0.972974589,0.989818895,595.6675617,682.3712997,556.4528273,651.6012263,535.7790217,653.6588618,GENE99
995.4480736,0.428687496,0.196601763,2.180486524,0.029221417,0.150237087,1067.029148,1311.084322,1050.111499,824.9227647,684.2765332,1035.264175,GENE100
